nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
97,155,0.05,0.0,0.605,-0.192,-0.039,0.037,0.052,0.047,0.078,0.063,0.103,0.418,0.512,0.578,0.462,0.798,1.001,0.321,0.994,0.091,0.063,-0.11,0.874,0.474,-0.012,-0.478,0.878,0.866,0.306,0.238,0.494,0.476,0.55,0.351,0.641,0.583,0.513,0.412,0.587,0.34,0.491,0.623,0.351,0.511,0.651,0.474,0.639,0.367,0.45,0.579,0.535,silt
47,68,0.018,0.0,1.834,-0.314,-0.039,0.081,0.051,0.027,0.038,0.079,0.284,0.54,0.446,0.519,0.392,0.197,0.197,0.052,0.562,-0.229,0.795,0.048,0.968,0.245,-0.826,-0.1,0.555,0.02,0.825,0.565,0.155,0.676,0.572,0.157,0.987,0.032,0.43,0.558,0.629,0.014,0.413,0.911,0.351,0.443,0.782,0.453,0.742,0.234,0.451,0.492,0.6,silt
94,134,0.044,0.0,0.502,-0.456,0.013,-0.029,0.063,0.085,0.037,-0.06,0.023,0.429,0.558,0.572,0.416,0.988,1.049,0.308,0.851,-0.055,0.523,0.526,0.087,-0.846,0.001,0.995,0.103,0.667,0.687,0.042,0.628,0.357,0.554,0.561,0.483,0.5,0.508,0.495,0.476,0.621,0.651,0.27,0.337,0.512,0.661,0.772,0.36,0.379,0.339,0.577,0.587,silt
45,53,0.021,0.0,1.896,-0.83,-0.01,0.093,0.048,0.013,0.059,0.102,0.032,0.657,0.436,0.435,0.422,0.207,0.259,0.07,0.836,-0.081,0.542,0.102,0.995,-0.008,-0.539,0.062,0.84,0.0,0.0,0.0,0.271,0.38,0.795,0.468,0.632,0.356,0.312,0.456,0.747,0.499,0.622,0.376,0.48,0.196,0.778,0.0,0.0,0.0,0.348,0.305,0.817,silt
79,107,0.054,0.0,0.674,-0.698,0.005,-0.014,0.077,0.058,0.059,0.383,-0.112,0.367,0.449,0.496,0.508,0.837,0.737,0.453,0.576,0.32,-0.752,-0.806,0.374,-0.458,0.135,0.87,0.474,0.033,0.434,0.9,0.246,0.386,0.841,0.486,0.396,0.718,0.49,0.408,0.562,0.896,0.332,0.185,0.362,0.464,0.61,0.568,0.565,0.241,0.266,0.439,0.684,silt
15,17,0.003,0.0,4.635,-0.785,0.007,0.236,0.014,0.014,0.024,-0.251,0.161,0.609,0.424,0.437,0.412,0.014,0.011,0.004,0.83,-0.411,0.378,0.407,0.909,0.094,-0.382,0.076,0.921,0.0,0.0,0.0,0.736,0.306,0.575,0.443,0.837,0.321,0.282,0.283,0.831,0.714,0.526,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.509,0.821,silt
63,94,0.029,0.0,1.382,-1.245,-0.015,-0.06,0.037,0.022,0.066,0.277,0.144,0.5,0.518,0.499,0.368,0.346,0.33,0.108,0.867,0.481,0.13,-0.494,0.863,0.105,-0.062,-0.155,0.986,0.731,0.419,0.539,0.429,0.264,0.758,0.443,0.801,0.255,0.303,0.537,0.564,0.925,0.14,0.352,0.669,0.362,0.495,0.772,0.574,0.099,0.475,0.462,0.593,silt
70,94,0.055,0.0,1.803,-1.048,-0.015,-0.067,0.106,0.026,0.069,0.169,0.138,0.836,0.274,0.385,0.171,0.914,1.16,0.273,0.422,-0.014,-0.906,0.318,0.939,0.133,0.849,-0.344,0.401,0.0,0.0,0.0,0.268,0.444,0.789,0.0,0.0,0.0,0.194,0.427,0.805,0.0,0.0,0.0,0.28,0.244,0.879,0.0,0.0,0.0,0.308,0.281,0.832,sand
65,104,0.026,0.0,1.003,-0.914,-0.012,-0.002,0.068,0.023,0.037,0.08,0.13,0.437,0.463,0.571,0.496,0.378,0.373,0.109,0.249,-0.12,-0.961,0.894,0.411,0.181,0.373,-0.904,0.21,0.688,0.429,0.395,0.396,0.335,0.636,0.469,0.682,0.412,0.242,0.52,0.733,0.427,0.626,0.304,0.446,0.42,0.609,0.29,0.741,0.357,0.304,0.577,0.614,silt
44,56,0.023,0.0,1.712,-0.789,-0.035,-0.135,0.065,0.015,0.046,0.215,0.106,0.563,0.367,0.516,0.473,0.216,0.268,0.088,0.373,0.122,-0.92,-0.219,0.975,0.04,0.902,0.186,0.39,0.0,0.0,0.0,0.162,0.305,0.917,0.942,0.16,0.294,0.239,0.606,0.61,0.0,0.0,0.0,0.452,0.286,0.729,0.303,0.328,0.712,0.308,0.69,0.481,silt
