sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
22,muroDonnafugataPietre,97,155,1.259,0.024,0.28,-0.959,-0.193,0.184,0.262,0.233,0.388,-0.06,-0.407,0.143,0.496,0.493,0.567,19.95,25.027,8.027,0.994,0.091,0.063,-0.11,0.874,0.474,-0.012,-0.478,0.878,0.468,0.531,0.474,0.486,0.633,0.364,0.771,0.465,0.302,0.481,0.425,0.576,0.219,0.709,0.53,0.381,0.538,0.645,0.613,0.619,0.418,0.393,0.608,0.561,granule
23,muroDonnafugataPietre,47,68,0.457,0.006,0.476,-1.568,-0.197,0.403,0.255,0.133,0.19,-0.071,-0.511,0.334,0.456,0.385,0.515,4.936,4.937,1.304,0.562,-0.229,0.795,0.048,0.968,0.245,-0.826,-0.1,0.555,0.292,0.613,0.624,0.543,0.483,0.592,0.0,0.0,0.0,0.182,0.162,0.964,0.122,0.922,0.31,0.319,0.639,0.558,0.183,0.647,0.69,0.546,0.147,0.701,sand
24,muroDonnafugataPietre,94,134,1.096,0.024,0.25,-2.279,0.065,-0.144,0.315,0.423,0.184,-0.186,-0.387,0.068,0.55,0.429,0.57,24.688,26.219,7.694,0.851,-0.055,0.523,0.526,0.087,-0.846,0.001,0.995,0.103,0.616,0.513,0.298,0.472,0.386,0.576,0.696,0.151,0.658,0.595,0.45,0.44,0.359,0.534,0.622,0.27,0.63,0.561,0.705,0.374,0.483,0.537,0.325,0.514,granule
25,muroDonnafugataPietre,45,53,0.529,0.005,0.5,-4.152,-0.052,0.463,0.238,0.067,0.296,-0.099,-0.651,0.095,0.426,0.427,0.439,5.175,6.469,1.743,0.836,-0.081,0.542,0.102,0.995,-0.008,-0.539,0.062,0.84,0.496,0.707,0.309,0.319,0.75,0.388,0.0,0.0,0.0,0.301,0.535,0.607,0.425,0.772,0.242,0.271,0.862,0.312,0.442,0.306,0.7,0.0,0.0,0.0,sand
26,muroDonnafugataPietre,79,107,1.358,0.033,0.27,-3.488,0.023,-0.07,0.385,0.29,0.297,0.247,-0.475,-0.086,0.514,0.434,0.503,20.915,18.415,11.326,0.576,0.32,-0.752,-0.806,0.374,-0.458,0.135,0.87,0.474,0.24,0.737,0.522,0.199,0.876,0.248,0.0,0.0,0.0,0.622,0.238,0.659,0.706,0.344,0.397,0.316,0.465,0.675,0.733,0.292,0.417,0.187,0.731,0.533,granule
27,muroDonnafugataPietre,15,17,0.079,0.001,0.973,-3.926,0.033,1.181,0.071,0.068,0.119,-0.413,-0.487,0.229,0.436,0.398,0.438,0.338,0.266,0.11,0.83,-0.411,0.378,0.407,0.909,0.094,-0.382,0.076,0.921,0.892,0.346,0.224,0.308,0.723,0.479,0.0,0.0,0.0,0.274,0.513,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.788,0.173,0.591,0.0,0.0,0.0,silt
28,muroDonnafugataPietre,63,94,0.72,0.007,0.393,-6.226,-0.073,-0.298,0.183,0.108,0.332,0.122,-0.546,0.185,0.514,0.38,0.494,8.639,8.241,2.698,0.867,0.481,0.13,-0.494,0.863,0.105,-0.062,-0.155,0.986,0.498,0.76,0.272,0.389,0.518,0.515,0.698,0.426,0.487,0.455,0.437,0.758,0.497,0.689,0.339,0.394,0.612,0.489,0.978,0.038,0.203,0.179,0.476,0.861,granule
29,muroDonnafugataPietre,70,94,1.371,0.024,0.55,-5.241,-0.076,-0.333,0.531,0.129,0.347,-0.083,-0.833,0.217,0.266,0.201,0.376,22.847,29.005,6.819,0.422,-0.014,-0.906,0.318,0.939,0.133,0.849,-0.344,0.401,0.272,0.772,0.479,0.232,0.825,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.973,0.135,0.174,0.835,0.344,0.0,0.0,0.0,0.0,0.0,0.0,granule
30,muroDonnafugataPietre,65,104,0.651,0.007,0.345,-4.571,-0.06,-0.008,0.342,0.117,0.186,-0.048,-0.427,0.171,0.433,0.521,0.572,9.456,9.331,2.721,0.249,-0.12,-0.961,0.894,0.411,0.181,0.373,-0.904,0.21,0.206,0.826,0.321,0.313,0.652,0.548,0.76,0.38,0.408,0.52,0.516,0.563,0.383,0.646,0.453,0.329,0.579,0.599,0.154,0.419,0.77,0.316,0.447,0.698,granule
31,muroDonnafugataPietre,44,56,0.563,0.005,0.483,-3.943,-0.173,-0.677,0.323,0.073,0.231,0.041,-0.59,0.156,0.39,0.478,0.495,5.401,6.7,2.202,0.373,0.122,-0.92,-0.219,0.975,0.04,0.902,0.186,0.39,0.298,0.906,0.224,0.324,0.617,0.491,0.0,0.0,0.0,0.798,0.581,0.158,0.354,0.789,0.272,0.275,0.47,0.675,0.0,0.0,0.0,0.381,0.888,0.246,sand
32,muroDonnafugataPietre,99,137,1.436,0.028,0.289,-3.096,-0.106,-0.87,0.284,0.288,0.345,0.014,-0.47,0.26,0.541,0.364,0.535,20.286,24.03,11.695,0.985,0.115,0.125,-0.167,0.799,0.577,-0.033,-0.59,0.807,0.322,0.702,0.442,0.526,0.548,0.487,0.0,0.0,0.0,0.397,0.156,0.859,0.394,0.635,0.47,0.513,0.41,0.589,0.0,0.0,0.0,0.675,0.273,0.537,granule
33,muroDonnafugataPietre,76,118,1.157,0.013,0.41,-5.78,-0.107,-1.129,0.408,0.132,0.233,-0.013,-0.605,-0.125,0.395,0.414,0.54,16.753,13.984,5.425,0.143,0.177,-0.974,-0.988,0.084,-0.13,0.059,0.981,0.187,0.219,0.579,0.582,0.303,0.692,0.471,0.757,0.556,0.303,0.643,0.467,0.343,0.305,0.675,0.5,0.233,0.876,0.252,0.0,0.0,0.0,0.071,0.549,0.833,granule
34,muroDonnafugataPietre,36,47,0.432,0.003,0.563,-4.601,-0.168,-1.097,0.285,0.08,0.133,-0.2,-0.652,-0.249,0.366,0.285,0.508,3.626,3.105,0.835,0.151,-0.106,-0.983,0.982,0.134,0.136,0.117,-0.985,0.124,0.317,0.673,0.463,0.434,0.544,0.506,0.492,0.07,0.868,0.0,0.0,0.0,0.317,0.654,0.572,0.25,0.934,0.168,0.0,0.0,0.0,0.0,0.0,0.0,sand
35,muroDonnafugataPietre,90,135,1.246,0.013,0.347,-3.799,-0.233,-1.637,0.356,0.104,0.346,-0.023,-0.526,0.065,0.546,0.385,0.521,17.02,21.53,7.774,0.673,0.189,-0.715,-0.296,0.955,-0.027,0.677,0.229,0.699,0.508,0.596,0.367,0.413,0.604,0.466,0.346,0.622,0.702,0.399,0.241,0.728,0.4,0.655,0.389,0.415,0.582,0.419,0.624,0.155,0.577,0.865,0.404,0.297,granule
36,muroDonnafugataPietre,116,185,1.639,0.017,0.436,-4.962,-0.165,-1.735,0.404,0.122,0.343,-0.064,-0.581,-0.048,0.485,0.343,0.55,31.432,22.097,15.022,0.329,-0.55,0.768,0.863,0.505,-0.008,-0.383,0.665,0.641,0.417,0.588,0.518,0.381,0.689,0.43,0.472,0.214,0.79,0.469,0.437,0.59,0.37,0.598,0.485,0.415,0.685,0.401,0.629,0.143,0.655,0.893,0.192,0.408,granule
37,muroDonnafugataPietre,72,100,0.947,0.014,0.434,-6.106,-0.187,-1.772,0.324,0.163,0.268,0.0,-0.606,0.052,0.443,0.295,0.588,13.761,8.714,6.78,0.387,0.512,-0.767,-0.863,0.494,-0.106,0.325,0.702,0.633,0.375,0.666,0.5,0.399,0.663,0.47,0.512,0.229,0.665,0.0,0.0,0.0,0.194,0.708,0.524,0.414,0.606,0.583,0.0,0.0,0.0,0.0,0.0,0.0,granule
38,muroDonnafugataPietre,79,118,0.907,0.012,0.366,-5.898,-0.144,-2.363,0.472,0.133,0.198,-0.031,-0.613,0.042,0.513,0.36,0.479,20.846,19.001,4.365,0.096,0.05,0.994,-0.995,0.007,0.096,-0.003,-0.999,0.051,0.308,0.727,0.434,0.435,0.725,0.375,0.712,0.346,0.473,0.817,0.328,0.473,0.387,0.728,0.429,0.452,0.63,0.435,0.652,0.296,0.584,0.0,0.0,0.0,granule
39,muroDonnafugataPietre,71,104,0.607,0.005,0.358,-6.12,-0.178,-2.991,0.306,0.082,0.193,0.076,-0.578,-0.109,0.435,0.384,0.558,8.388,8.101,3.067,0.189,0.144,0.971,-0.598,0.802,-0.003,-0.779,-0.58,0.238,0.337,0.69,0.497,0.256,0.765,0.483,0.542,0.354,0.671,0.573,0.263,0.733,0.354,0.651,0.48,0.379,0.704,0.437,0.35,0.173,0.86,0.628,0.119,0.769,granule
40,muroDonnafugataPietre,141,203,1.145,0.013,0.308,-6.048,-0.223,-3.756,0.244,0.176,0.309,-0.005,-0.51,0.043,0.513,0.453,0.52,18.098,21.977,12.37,0.985,0.174,0.002,-0.171,0.966,0.193,0.032,-0.191,0.981,0.407,0.681,0.41,0.504,0.587,0.401,0.616,0.339,0.467,0.539,0.4,0.623,0.428,0.667,0.407,0.386,0.69,0.441,0.405,0.419,0.629,0.544,0.433,0.463,granule
41,muroDonnafugataPietre,171,244,1.333,0.027,0.29,-5.057,-0.379,-4.015,0.424,0.321,0.198,0.035,-0.354,0.385,0.401,0.513,0.549,42.99,50.747,16.488,0.55,0.196,0.812,-0.834,0.17,0.524,-0.035,-0.966,0.258,0.348,0.5,0.567,0.313,0.636,0.542,0.443,0.668,0.452,0.293,0.392,0.789,0.345,0.694,0.428,0.321,0.571,0.587,0.436,0.266,0.717,0.282,0.326,0.828,granule
42,muroDonnafugataPietre,65,93,0.684,0.005,0.54,-5.264,-0.249,-3.233,0.211,0.072,0.298,-0.088,-0.691,0.002,0.492,0.307,0.423,6.186,8.668,3.153,0.986,0.014,-0.165,-0.011,1.0,0.021,0.166,-0.019,0.986,0.423,0.718,0.316,0.427,0.779,0.26,0.457,0.034,0.823,0.997,0.078,0.01,0.5,0.71,0.331,0.355,0.787,0.375,0.702,0.023,0.712,0.486,0.442,0.62,granule
43,muroDonnafugataPietre,73,102,0.892,0.009,0.442,-4.642,-0.27,-2.532,0.428,0.112,0.195,-0.102,-0.669,0.046,0.367,0.284,0.57,16.244,14.217,3.682,0.091,-0.094,-0.991,0.996,0.013,0.091,0.004,-0.996,0.094,0.341,0.62,0.492,0.349,0.637,0.517,0.44,0.041,0.897,0.0,0.0,0.0,0.282,0.586,0.585,0.181,0.923,0.198,0.0,0.0,0.0,0.0,0.0,0.0,granule
44,muroDonnafugataPietre,77,105,0.878,0.01,0.383,-3.658,-0.283,-2.26,0.454,0.1,0.216,-0.004,-0.607,-0.117,0.473,0.322,0.539,18.069,18.126,4.243,0.105,0.043,-0.994,-0.692,0.721,-0.042,0.715,0.692,0.105,0.37,0.634,0.501,0.329,0.608,0.569,0.476,0.126,0.682,0.27,0.623,0.734,0.447,0.599,0.452,0.349,0.756,0.354,0.0,0.0,0.0,0.677,0.078,0.731,granule
45,muroDonnafugataPietre,52,62,0.58,0.005,0.534,-4.381,-0.245,-3.012,0.368,0.08,0.176,-0.012,-0.643,-0.092,0.506,0.302,0.48,8.102,7.985,1.886,0.097,0.044,0.994,-0.768,0.639,0.047,-0.634,-0.768,0.096,0.54,0.599,0.302,0.359,0.771,0.286,0.684,0.199,0.661,0.0,0.0,0.0,0.386,0.626,0.484,0.342,0.721,0.435,0.0,0.0,0.0,0.0,0.0,0.0,granule
46,muroDonnafugataPietre,71,101,0.713,0.006,0.337,-4.662,-0.192,-3.498,0.285,0.128,0.171,0.051,-0.476,-0.143,0.448,0.36,0.649,8.165,6.054,3.816,0.192,0.411,0.891,-0.832,0.55,-0.075,-0.521,-0.727,0.447,0.309,0.607,0.603,0.377,0.462,0.688,0.575,0.252,0.631,0.09,0.081,0.993,0.373,0.552,0.603,0.401,0.617,0.494,0.375,0.322,0.869,0.15,0.346,0.847,granule
47,muroDonnafugataPietre,176,253,2.645,0.047,0.481,-2.743,-0.29,-3.714,0.963,0.141,0.343,-0.008,-0.677,-0.01,0.392,0.407,0.472,181.969,169.258,23.518,0.067,-0.016,0.998,0.843,0.535,-0.048,-0.533,0.845,0.049,0.283,0.781,0.296,0.224,0.845,0.316,0.546,0.25,0.649,0.54,0.545,0.392,0.339,0.682,0.437,0.21,0.827,0.339,0.7,0.2,0.569,0.403,0.298,0.691,pebble
48,muroDonnafugataPietre,89,112,1.282,0.048,0.386,-2.278,-0.186,-0.647,0.436,0.391,0.28,-0.202,-0.57,0.264,0.444,0.404,0.451,31.745,29.689,13.483,0.62,-0.357,-0.699,0.75,0.01,0.661,-0.229,-0.934,0.274,0.334,0.801,0.305,0.446,0.641,0.426,0.0,0.0,0.0,0.582,0.332,0.632,0.294,0.799,0.342,0.282,0.617,0.543,0.0,0.0,0.0,0.538,0.213,0.666,granule
